method,k,fraction,coverage,quality,redundancy
Dedup-only,11,0.1375,1.0,0.9961020438310758,0.14889326129169697
Dedup-only,12,0.15,1.0,0.9958252692337446,0.17253048895971823
Dedup-only,13,0.1625,1.0,0.9960901171913741,0.21483559841103952
Dedup-only,14,0.175,1.0,0.9952332338205616,0.24301189334263615
Dedup-only,15,0.1875,1.0,0.9955443337405455,0.27808207211340724
Dedup-only,16,0.2,1.0,0.9956889422629817,0.2866032183415541
Dedup-only,17,0.2125,1.0,0.9956228407999417,0.3083296810432486
Dedup-only,18,0.225,1.0,0.995037965105488,0.3198469771969648
Dedup-only,19,0.2375,1.0,0.9951311517124781,0.33230094716027464
Dedup-only,20,0.25,1.0,0.9953640456036474,0.34330631362563574
Dedup-only,21,0.2625,1.0,0.9955649198770553,0.351791070132695
Dedup-only,22,0.275,1.0,0.9956492072268724,0.35783444448890295
Dedup-only,23,0.2875,1.0,0.9949269489596496,0.37018745430173633
Dedup-only,24,0.3,1.0,0.9951327556763486,0.37696172392743404
Dedup-only,25,0.3125,1.0,0.9944053964515218,0.38631130060293045
Dedup-only,26,0.325,1.0,0.9946205735110787,0.3941684448601184
Dedup-only,27,0.3375,1.0,0.9947360173277457,0.40036910149955846
Dedup-only,28,0.35,1.0,0.9947282605821792,0.4073700896782703
Dedup-only,29,0.3625,1.0,0.9948927456572488,0.4224842597785805
Dedup-only,30,0.375,1.0,0.9949070241659216,0.4316707730023827
Dedup-only,31,0.3875,1.0,0.9949964883015736,0.44128471510324335
Dedup-only,32,0.4,1.0,0.9949838653962741,0.45601730550350905
Dedup-only,33,0.4125,1.0,0.9950173660047161,0.4714573950659624
Dedup-only,34,0.425,1.0,0.9951358136512617,0.4779707918660074
Dedup-only,35,0.4375,1.0,0.9949842335033564,0.48116129714796957
Dedup-only,36,0.45,1.0,0.9949023152360241,0.4884472722127109
Dedup-only,37,0.4625,1.0,0.995028804157894,0.4959701335681196
Dedup-only,38,0.475,1.0,0.9950918591196299,0.506563459396133
Dedup-only,39,0.4875,1.0,0.9951789655778192,0.5120193338680643
Dedup-only,40,0.5,1.0,0.995270792458782,0.5164471976278333
Dedup-only,41,0.5125,1.0,0.9953746650791159,0.5201165112828429
Dedup-only,42,0.525,1.0,0.9952853722315711,0.5231130052361465
Dedup-only,43,0.5375,1.0,0.9953537670948217,0.528589576382591
Dedup-only,44,0.55,1.0,0.9953243036846935,0.5319097837238962
Dedup-only,45,0.5625,1.0,0.9954161615619951,0.5386441204893448
Dedup-only,46,0.575,1.0,0.9954731630362181,0.5409561799063802
Dedup-only,47,0.5875,1.0,0.9955106494193088,0.5464141955873045
Dedup-only,48,0.6,1.0,0.9955917922831482,0.5540079503838323
Dedup-only,49,0.6125,1.0,0.9956817557059411,0.5633609025836996
Dedup-only,50,0.625,1.0,0.9951843368080385,0.5680846021941924
Dedup-only,51,0.6375,1.0,0.9951570281909744,0.5784885818281285
Dedup-only,52,0.65,1.0,0.9951553410406723,0.582611070137905
Dedup-only,53,0.6625,1.0,0.9951527897139492,0.5902018466808674
Dedup-only,54,0.675,1.0,0.9951600859585467,0.5947203748393236
Dedup-only,55,0.6875,1.0,0.9952223774547899,0.5987574681853945
Dedup-only,56,0.7,1.0,0.9953000171533306,0.6107035646210355
Dedup-only,57,0.7125,1.0,0.9953247629281106,0.6181259342374136
Dedup-only,58,0.725,1.0,0.9953986580247242,0.6204338750435986
